,keyword,province,type,date,index
248,嗓子疼,911,pc,2022-12-25,66
249,嗓子疼,911,pc,2022-12-26,83
250,嗓子疼,911,pc,2022-12-27,87
251,嗓子疼,911,pc,2022-12-28,72
252,嗓子疼,911,pc,2022-12-29,82
253,嗓子疼,911,pc,2022-12-30,76
254,嗓子疼,911,pc,2022-12-31,61
255,嗓子疼,911,pc,2023-01-01,59
256,嗓子疼,911,wise,2022-12-01,212
257,嗓子疼,911,wise,2022-12-02,217
258,嗓子疼,911,wise,2022-12-03,204
259,嗓子疼,911,wise,2022-12-04,287
260,嗓子疼,911,wise,2022-12-05,346
261,嗓子疼,911,wise,2022-12-06,437
262,嗓子疼,911,wise,2022-12-07,564
263,嗓子疼,911,wise,2022-12-08,704
264,嗓子疼,911,wise,2022-12-09,859
265,嗓子疼,911,wise,2022-12-10,903
266,嗓子疼,911,wise,2022-12-11,916
267,嗓子疼,911,wise,2022-12-12,974
268,嗓子疼,911,wise,2022-12-13,985
269,嗓子疼,911,wise,2022-12-14,969
270,嗓子疼,911,wise,2022-12-15,936
271,嗓子疼,911,wise,2022-12-16,922
272,嗓子疼,911,wise,2022-12-17,888
273,嗓子疼,911,wise,2022-12-18,876
274,嗓子疼,911,wise,2022-12-19,797
275,嗓子疼,911,wise,2022-12-20,660
276,嗓子疼,911,wise,2022-12-21,627
277,嗓子疼,911,wise,2022-12-22,549
278,嗓子疼,911,wise,2022-12-23,420
279,嗓子疼,911,wise,2022-12-24,393
280,嗓子疼,911,wise,2022-12-25,330
281,嗓子疼,911,wise,2022-12-26,274
282,嗓子疼,911,wise,2022-12-27,261
283,嗓子疼,911,wise,2022-12-28,275
284,嗓子疼,911,wise,2022-12-29,241
285,嗓子疼,911,wise,2022-12-30,209
286,嗓子疼,911,wise,2022-12-31,167
287,嗓子疼,911,wise,2023-01-01,159
288,咳嗽,911,all,2022-12-01,405
289,咳嗽,911,all,2022-12-02,399
290,咳嗽,911,all,2022-12-03,412
291,咳嗽,911,all,2022-12-04,382
292,咳嗽,911,all,2022-12-05,595
293,咳嗽,911,all,2022-12-06,646
294,咳嗽,911,all,2022-12-07,756
295,咳嗽,911,all,2022-12-08,949
296,咳嗽,911,all,2022-12-09,1077
297,咳嗽,911,all,2022-12-10,1049
298,咳嗽,911,all,2022-12-11,1120
299,咳嗽,911,all,2022-12-12,1471
300,咳嗽,911,all,2022-12-13,1581
301,咳嗽,911,all,2022-12-14,1799
302,咳嗽,911,all,2022-12-15,1837
303,咳嗽,911,all,2022-12-16,1799
304,咳嗽,911,all,2022-12-17,1546
305,咳嗽,911,all,2022-12-18,1527
306,咳嗽,911,all,2022-12-19,1702
307,咳嗽,911,all,2022-12-20,1672
308,咳嗽,911,all,2022-12-21,1628
309,咳嗽,911,all,2022-12-22,1374
310,咳嗽,911,all,2022-12-23,1331
311,咳嗽,911,all,2022-12-24,1132
312,咳嗽,911,all,2022-12-25,1113
313,咳嗽,911,all,2022-12-26,1356
314,咳嗽,911,all,2022-12-27,1253
315,咳嗽,911,all,2022-12-28,1283
316,咳嗽,911,all,2022-12-29,1155
317,咳嗽,911,all,2022-12-30,1079
318,咳嗽,911,all,2022-12-31,832
319,咳嗽,911,all,2023-01-01,781
